0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:06:06 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:07:49 +0200] "GET /ticket-app/createdIssueList.zul HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:07:50 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:07:56 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:08:14 +0200] "GET /ticket-app/saveIssue.zul HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:08:14 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:08:41 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:08:44 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:40 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:41 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:41 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/img/misc/prgmeter-anim.gif HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:43 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:43 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:44 +0200] "POST /ticket-app/zkau/upload HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:47 +0200] "POST /ticket-app/zkau/upload?uuid=nJBV70&dtid=z_er_0&sid=0 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:56 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:09:57 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/img/msgbox/info-btn.png HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:10:00 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:10:05 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:10:06 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:10:36 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:11:09 +0200] "GET /ticket-app/createdIssueList.zul HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:11:10 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:11:15 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:11:26 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 1383
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:08 +0200] "GET /ticket-app/index.zul HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:09 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:09 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:09 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:09 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:17:09 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:06:27 +0200] "GET /ticket-app/index.zul HTTP/1.1" 200 4881
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:06:46 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:07:18 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:07:18 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:07:20 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Jun/2022:11:07:21 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
